zone,day_of_week,hour,is_weekday,is_rush_hour,congestion_score,congestion_level,pollution_score,pollution_level,infra_score,infra_level
Whitefield,0,20,1,1,0.899,high,0.627,high,0.521,medium
Koramangala,0,20,1,1,0.752,high,0.467,medium,0.556,medium
Electronic City,0,20,1,1,0.984,high,0.667,high,0.678,high
Indiranagar,0,20,1,1,0.916,high,0.723,high,0.772,high
MG Road,0,21,1,0,0.802,high,0.629,high,0.59,medium
Whitefield,0,21,1,0,0.626,medium,0.425,medium,0.41,medium
Koramangala,0,21,1,0,0.448,medium,0.232,low,0.588,medium
Electronic City,0,21,1,0,0.67,high,0.347,medium,0.559,medium
Indiranagar,0,21,1,0,0.663,high,0.527,medium,0.603,high
MG Road,0,22,1,0,0.799,high,0.47,medium,0.627,high
Whitefield,0,22,1,0,0.546,medium,0.48,medium,0.354,medium
Koramangala,0,22,1,0,0.334,low,0.202,low,0.375,medium
Electronic City,0,22,1,0,0.705,high,0.411,medium,0.481,medium
Indiranagar,0,22,1,0,0.62,medium,0.383,medium,0.476,medium
MG Road,0,23,1,0,0.819,high,0.428,medium,0.487,medium
Whitefield,0,23,1,0,0.543,medium,0.358,medium,0.398,medium
Koramangala,0,23,1,0,0.518,medium,0.448,medium,0.391,medium
Electronic City,0,23,1,0,0.748,high,0.424,medium,0.473,medium
Indiranagar,0,23,1,0,0.577,medium,0.436,medium,0.423,medium
MG Road,1,0,1,0,0.542,medium,0.532,medium,0.506,medium
Whitefield,1,0,1,0,0.332,low,0.302,medium,0.243,low
Koramangala,1,0,1,0,0.118,low,0.084,low,0.257,low
Electronic City,1,0,1,0,0.388,medium,0.274,low,0.38,medium
Indiranagar,1,0,1,0,0.416,medium,0.387,medium,0.657,high
MG Road,1,1,1,0,0.439,medium,0.394,medium,0.494,medium
Whitefield,1,1,1,0,0.475,medium,0.252,low,0.256,low
Koramangala,1,1,1,0,0.052,low,0.0,low,0.168,low
Electronic City,1,1,1,0,0.389,medium,0.288,low,0.365,medium
Indiranagar,1,1,1,0,0.45,medium,0.41,medium,0.397,medium
MG Road,1,2,1,0,0.428,medium,0.349,medium,0.339,medium
Whitefield,1,2,1,0,0.447,medium,0.431,medium,0.282,low
Koramangala,1,2,1,0,0.0,low,0.135,low,0.189,low
Electronic City,1,2,1,0,0.549,medium,0.225,low,0.335,medium
Indiranagar,1,2,1,0,0.3,low,0.215,low,0.35,medium
MG Road,1,3,1,0,0.55,medium,0.278,low,0.506,medium
Whitefield,1,3,1,0,0.31,low,0.268,low,0.345,medium
Koramangala,1,3,1,0,0.01,low,0.0,low,0.332,medium
Electronic City,1,3,1,0,0.477,medium,0.259,low,0.521,medium
Indiranagar,1,3,1,0,0.309,low,0.334,medium,0.405,medium
MG Road,1,4,1,0,0.665,high,0.641,high,0.541,medium
Whitefield,1,4,1,0,0.378,medium,0.329,medium,0.438,medium
Koramangala,1,4,1,0,0.023,low,0.085,low,0.315,medium
Electronic City,1,4,1,0,0.309,low,0.098,low,0.095,low
Indiranagar,1,4,1,0,0.278,low,0.267,low,0.537,medium
MG Road,1,5,1,0,0.806,high,0.727,high,0.484,medium
Whitefield,1,5,1,0,0.464,medium,0.319,medium,0.374,medium
Koramangala,1,5,1,0,0.397,medium,0.071,low,0.35,medium
Electronic City,1,5,1,0,0.646,medium,0.519,medium,0.47,medium
Indiranagar,1,5,1,0,0.525,medium,0.316,medium,0.379,medium
MG Road,1,6,1,0,0.795,high,0.652,high,0.519,medium
Whitefield,1,6,1,0,0.64,medium,0.395,medium,0.327,medium
Koramangala,1,6,1,0,0.391,medium,0.17,low,0.301,medium
Electronic City,1,6,1,0,0.654,high,0.654,high,0.44,medium
Indiranagar,1,6,1,0,0.544,medium,0.402,medium,0.481,medium
MG Road,1,7,1,0,0.782,high,0.609,high,0.689,high
Whitefield,1,7,1,0,0.558,medium,0.333,medium,0.346,medium
Koramangala,1,7,1,0,0.216,low,0.0,low,0.423,medium
Electronic City,1,7,1,0,0.882,high,0.592,medium,0.585,medium
Indiranagar,1,7,1,0,0.625,medium,0.745,high,0.637,high
MG Road,1,8,1,1,1.0,high,0.604,high,0.539,medium
Whitefield,1,8,1,1,0.866,high,0.531,medium,0.354,medium
Koramangala,1,8,1,1,0.598,medium,0.311,medium,0.608,high
Electronic City,1,8,1,1,1.0,high,0.699,high,0.723,high
Indiranagar,1,8,1,1,0.856,high,0.513,medium,0.77,high
MG Road,1,9,1,1,1.0,high,0.596,medium,0.681,high
Whitefield,1,9,1,1,0.78,high,0.408,medium,0.555,medium
Koramangala,1,9,1,1,0.803,high,0.422,medium,0.577,medium
Electronic City,1,9,1,1,0.948,high,0.615,high,0.495,medium
Indiranagar,1,9,1,1,0.781,high,0.551,medium,0.504,medium
MG Road,1,10,1,1,1.0,high,0.695,high,0.676,high
Whitefield,1,10,1,1,0.777,high,0.486,medium,0.536,medium
Koramangala,1,10,1,1,0.69,high,0.385,medium,0.486,medium
Electronic City,1,10,1,1,1.0,high,0.533,medium,0.629,high
Indiranagar,1,10,1,1,0.797,high,0.615,high,0.517,medium
MG Road,1,11,1,0,0.656,high,0.296,low,0.567,medium
Whitefield,1,11,1,0,0.621,medium,0.344,medium,0.462,medium
Koramangala,1,11,1,0,0.267,low,0.18,low,0.186,low
Electronic City,1,11,1,0,0.698,high,0.493,medium,0.368,medium
Indiranagar,1,11,1,0,0.569,medium,0.499,medium,0.445,medium
MG Road,1,12,1,0,0.867,high,0.494,medium,0.7,high
Whitefield,1,12,1,0,0.715,high,0.254,low,0.356,medium
Koramangala,1,12,1,0,0.446,medium,0.292,low,0.416,medium
Electronic City,1,12,1,0,0.702,high,0.5,medium,0.44,medium
Indiranagar,1,12,1,0,0.693,high,0.511,medium,0.586,medium
MG Road,1,13,1,0,0.767,high,0.488,medium,0.564,medium
Whitefield,1,13,1,0,0.632,medium,0.4,medium,0.432,medium
Koramangala,1,13,1,0,0.566,medium,0.483,medium,0.394,medium
Electronic City,1,13,1,0,0.846,high,0.551,medium,0.31,medium
Indiranagar,1,13,1,0,0.519,medium,0.176,low,0.448,medium
MG Road,1,14,1,0,0.801,high,0.729,high,0.653,high
Whitefield,1,14,1,0,0.582,medium,0.491,medium,0.162,low
Koramangala,1,14,1,0,0.419,medium,0.37,medium,0.22,low
Electronic City,1,14,1,0,0.842,high,0.623,high,0.47,medium
Indiranagar,1,14,1,0,0.651,high,0.683,high,0.553,medium
MG Road,1,15,1,0,0.82,high,0.528,medium,0.543,medium
Whitefield,1,15,1,0,0.666,high,0.381,medium,0.424,medium
Koramangala,1,15,1,0,0.362,medium,0.301,medium,0.378,medium
Electronic City,1,15,1,0,0.833,high,0.532,medium,0.481,medium
Indiranagar,1,15,1,0,0.522,medium,0.321,medium,0.521,medium
MG Road,1,16,1,0,0.861,high,0.51,medium,0.731,high
Whitefield,1,16,1,0,0.708,high,0.537,medium,0.621,high
Koramangala,1,16,1,0,0.338,low,0.112,low,0.157,low
Electronic City,1,16,1,0,0.87,high,0.674,high,0.517,medium
Indiranagar,1,16,1,0,0.622,medium,0.323,medium,0.769,high
MG Road,1,17,1,1,1.0,high,0.711,high,0.773,high
Whitefield,1,17,1,1,0.888,high,0.644,high,0.426,medium
Koramangala,1,17,1,1,0.688,high,0.67,high,0.61,high
Electronic City,1,17,1,1,1.0,high,0.649,high,0.476,medium
Indiranagar,1,17,1,1,0.84,high,0.594,medium,0.72,high
MG Road,1,18,1,1,0.915,high,0.793,high,0.65,high
Whitefield,1,18,1,1,0.816,high,0.47,medium,0.311,medium
Koramangala,1,18,1,1,0.716,high,0.508,medium,0.357,medium
Electronic City,1,18,1,1,0.896,high,0.594,medium,0.7,high
Indiranagar,1,18,1,1,0.829,high,0.43,medium,0.582,medium
MG Road,1,19,1,1,1.0,high,0.43,medium,0.695,high
Whitefield,1,19,1,1,0.832,high,0.652,high,0.668,high
Koramangala,1,19,1,1,0.74,high,0.491,medium,0.385,medium
Electronic City,1,19,1,1,1.0,high,0.706,high,0.576,medium
Indiranagar,1,19,1,1,0.848,high,0.613,high,0.6,medium
MG Road,1,20,1,1,1.0,high,0.645,high,0.697,high
Whitefield,1,20,1,1,0.807,high,0.493,medium,0.483,medium
Koramangala,1,20,1,1,0.63,medium,0.591,medium,0.187,low
Electronic City,1,20,1,1,1.0,high,0.825,high,0.368,medium
Indiranagar,1,20,1,1,0.823,high,0.539,medium,0.463,medium
MG Road,1,21,1,0,0.738,high,0.405,medium,0.77,high
Whitefield,1,21,1,0,0.675,high,0.6,medium,0.492,medium
Koramangala,1,21,1,0,0.31,low,0.164,low,0.373,medium
Electronic City,1,21,1,0,0.652,high,0.528,medium,0.412,medium
Indiranagar,1,21,1,0,0.57,medium,0.47,medium,0.547,medium
MG Road,1,22,1,0,0.771,high,0.656,high,0.5,medium
Whitefield,1,22,1,0,0.649,medium,0.514,medium,0.379,medium
Koramangala,1,22,1,0,0.426,medium,0.173,low,0.463,medium
Electronic City,1,22,1,0,0.735,high,0.462,medium,0.574,medium
Indiranagar,1,22,1,0,0.544,medium,0.24,low,0.337,medium
MG Road,1,23,1,0,0.848,high,0.466,medium,0.815,high
Whitefield,1,23,1,0,0.433,medium,0.473,medium,0.344,medium
Koramangala,1,23,1,0,0.392,medium,0.22,low,0.397,medium
Electronic City,1,23,1,0,0.747,high,0.633,high,0.485,medium
Indiranagar,1,23,1,0,0.612,medium,0.392,medium,0.514,medium
MG Road,2,0,1,0,0.525,medium,0.196,low,0.375,medium
Whitefield,2,0,1,0,0.359,medium,0.269,low,0.275,low
Koramangala,2,0,1,0,0.101,low,0.106,low,0.187,low
Electronic City,2,0,1,0,0.388,medium,0.291,low,0.232,low
Indiranagar,2,0,1,0,0.333,low,0.063,low,0.511,medium
MG Road,2,1,1,0,0.538,medium,0.402,medium,0.613,high
Whitefield,2,1,1,0,0.433,medium,0.405,medium,0.139,low
Koramangala,2,1,1,0,0.0,low,0.0,low,0.203,low
Electronic City,2,1,1,0,0.491,medium,0.271,low,0.39,medium
Indiranagar,2,1,1,0,0.24,low,0.107,low,0.23,low
MG Road,2,2,1,0,0.426,medium,0.163,low,0.373,medium
Whitefield,2,2,1,0,0.384,medium,0.174,low,0.567,medium
Koramangala,2,2,1,0,0.139,low,0.116,low,0.17,low
Electronic City,2,2,1,0,0.506,medium,0.297,low,0.39,medium
Indiranagar,2,2,1,0,0.505,medium,0.344,medium,0.592,medium
MG Road,2,3,1,0,0.444,medium,0.307,medium,0.655,high
Whitefield,2,3,1,0,0.25,low,0.356,medium,0.321,medium
Koramangala,2,3,1,0,0.055,low,0.102,low,0.319,medium
Electronic City,2,3,1,0,0.5,medium,0.193,low,0.302,medium
Indiranagar,2,3,1,0,0.28,low,0.189,low,0.449,medium
MG Road,2,4,1,0,0.514,medium,0.226,low,0.544,medium
Whitefield,2,4,1,0,0.349,low,0.3,medium,0.398,medium
Koramangala,2,4,1,0,0.167,low,0.163,low,0.26,low
Electronic City,2,4,1,0,0.317,low,0.265,low,0.323,medium
Indiranagar,2,4,1,0,0.322,low,0.098,low,0.296,low
MG Road,2,5,1,0,0.884,high,0.615,high,0.722,high
Whitefield,2,5,1,0,0.602,medium,0.425,medium,0.485,medium
Koramangala,2,5,1,0,0.359,medium,0.261,low,0.297,low
Electronic City,2,5,1,0,0.715,high,0.47,medium,0.483,medium
Indiranagar,2,5,1,0,0.562,medium,0.519,medium,0.41,medium
MG Road,2,6,1,0,0.785,high,0.506,medium,0.759,high
Whitefield,2,6,1,0,0.616,medium,0.534,medium,0.248,low
Koramangala,2,6,1,0,0.421,medium,0.384,medium,0.377,medium
Electronic City,2,6,1,0,0.835,high,0.533,medium,0.65,high
Indiranagar,2,6,1,0,0.784,high,0.512,medium,0.544,medium
MG Road,2,7,1,0,0.916,high,0.799,high,0.614,high
Whitefield,2,7,1,0,0.566,medium,0.368,medium,0.242,low
Koramangala,2,7,1,0,0.327,low,0.128,low,0.254,low
Electronic City,2,7,1,0,0.747,high,0.546,medium,0.629,high
Indiranagar,2,7,1,0,0.52,medium,0.463,medium,0.462,medium
MG Road,2,8,1,1,1.0,high,0.767,high,0.588,medium
Whitefield,2,8,1,1,0.881,high,0.633,high,0.551,medium
Koramangala,2,8,1,1,0.673,high,0.717,high,0.405,medium
Electronic City,2,8,1,1,0.958,high,0.608,high,0.502,medium
Indiranagar,2,8,1,1,0.799,high,0.678,high,0.737,high
MG Road,2,9,1,1,1.0,high,0.617,high,0.747,high
Whitefield,2,9,1,1,0.806,high,0.627,high,0.493,medium
Koramangala,2,9,1,1,0.529,medium,0.525,medium,0.591,medium
Electronic City,2,9,1,1,0.951,high,0.627,high,0.584,medium
Indiranagar,2,9,1,1,0.877,high,0.68,high,0.827,high
MG Road,2,10,1,1,1.0,high,0.62,high,0.562,medium
Whitefield,2,10,1,1,0.792,high,0.551,medium,0.646,high
Koramangala,2,10,1,1,0.609,medium,0.448,medium,0.442,medium
Electronic City,2,10,1,1,1.0,high,0.953,high,0.522,medium
Indiranagar,2,10,1,1,0.811,high,0.672,high,0.668,high
MG Road,2,11,1,0,0.948,high,0.722,high,0.643,high
Whitefield,2,11,1,0,0.647,medium,0.564,medium,0.491,medium
Koramangala,2,11,1,0,0.441,medium,0.415,medium,0.493,medium
Electronic City,2,11,1,0,0.861,high,0.667,high,0.503,medium
Indiranagar,2,11,1,0,0.612,medium,0.549,medium,0.438,medium
MG Road,2,12,1,0,0.829,high,0.541,medium,0.635,high
Whitefield,2,12,1,0,0.702,high,0.511,medium,0.436,medium
Koramangala,2,12,1,0,0.291,low,0.278,low,0.381,medium
Electronic City,2,12,1,0,0.923,high,0.615,high,0.566,medium
Indiranagar,2,12,1,0,0.62,medium,0.592,medium,0.513,medium
MG Road,2,13,1,0,0.822,high,0.636,high,0.648,high
Whitefield,2,13,1,0,0.564,medium,0.414,medium,0.483,medium
Koramangala,2,13,1,0,0.318,low,0.236,low,0.257,low
Electronic City,2,13,1,0,0.846,high,0.44,medium,0.457,medium
Indiranagar,2,13,1,0,0.63,medium,0.598,medium,0.52,medium
MG Road,2,14,1,0,0.756,high,0.717,high,0.457,medium
Whitefield,2,14,1,0,0.424,medium,0.341,medium,0.269,low
Koramangala,2,14,1,0,0.318,low,0.294,low,0.352,medium
Electronic City,2,14,1,0,0.705,high,0.365,medium,0.544,medium
Indiranagar,2,14,1,0,0.652,high,0.446,medium,0.72,high
MG Road,2,15,1,0,0.714,high,0.348,medium,0.517,medium
Whitefield,2,15,1,0,0.596,medium,0.442,medium,0.364,medium
Koramangala,2,15,1,0,0.428,medium,0.175,low,0.516,medium
Electronic City,2,15,1,0,0.743,high,0.632,high,0.507,medium
Indiranagar,2,15,1,0,0.637,medium,0.503,medium,0.574,medium
MG Road,2,16,1,0,0.851,high,0.729,high,0.66,high
Whitefield,2,16,1,0,0.657,high,0.451,medium,0.557,medium
Koramangala,2,16,1,0,0.346,low,0.422,medium,0.334,medium
Electronic City,2,16,1,0,0.636,medium,0.458,medium,0.361,medium
Indiranagar,2,16,1,0,0.667,high,0.402,medium,0.497,medium
MG Road,2,17,1,1,0.899,high,0.584,medium,0.417,medium
Whitefield,2,17,1,1,0.723,high,0.582,medium,0.518,medium
Koramangala,2,17,1,1,0.684,high,0.382,medium,0.469,medium
Electronic City,2,17,1,1,1.0,high,0.584,medium,0.725,high
Indiranagar,2,17,1,1,0.92,high,0.622,high,0.646,high
MG Road,2,18,1,1,1.0,high,0.496,medium,0.675,high
Whitefield,2,18,1,1,0.795,high,0.457,medium,0.44,medium
Koramangala,2,18,1,1,0.794,high,0.62,high,0.46,medium
Electronic City,2,18,1,1,1.0,high,0.84,high,0.667,high
Indiranagar,2,18,1,1,0.855,high,0.534,medium,0.687,high
MG Road,2,19,1,1,1.0,high,0.79,high,0.764,high
Whitefield,2,19,1,1,0.934,high,0.6,high,0.655,high
Koramangala,2,19,1,1,0.666,high,0.674,high,0.397,medium
Electronic City,2,19,1,1,1.0,high,0.72,high,0.51,medium
Indiranagar,2,19,1,1,0.811,high,0.536,medium,0.642,high
MG Road,2,20,1,1,1.0,high,0.643,high,0.698,high
Whitefield,2,20,1,1,1.0,high,0.873,high,0.594,medium
Koramangala,2,20,1,1,0.653,high,0.469,medium,0.523,medium
Electronic City,2,20,1,1,0.918,high,0.617,high,0.375,medium
Indiranagar,2,20,1,1,0.882,high,0.682,high,0.579,medium
MG Road,2,21,1,0,0.926,high,0.526,medium,0.524,medium
Whitefield,2,21,1,0,0.618,medium,0.537,medium,0.566,medium
Koramangala,2,21,1,0,0.363,medium,0.362,medium,0.341,medium
Electronic City,2,21,1,0,0.736,high,0.604,high,0.535,medium
Indiranagar,2,21,1,0,0.474,medium,0.479,medium,0.603,high
MG Road,2,22,1,0,0.75,high,0.565,medium,0.649,high
Whitefield,2,22,1,0,0.621,medium,0.38,medium,0.331,medium
Koramangala,2,22,1,0,0.398,medium,0.396,medium,0.414,medium
Electronic City,2,22,1,0,0.72,high,0.581,medium,0.178,low
Indiranagar,2,22,1,0,0.692,high,0.31,medium,0.516,medium
MG Road,2,23,1,0,0.71,high,0.368,medium,0.7,high
Whitefield,2,23,1,0,0.563,medium,0.428,medium,0.37,medium
Koramangala,2,23,1,0,0.438,medium,0.314,medium,0.247,low
Electronic City,2,23,1,0,0.83,high,0.531,medium,0.351,medium
Indiranagar,2,23,1,0,0.566,medium,0.546,medium,0.586,medium
MG Road,3,0,1,0,0.472,medium,0.296,low,0.457,medium
Whitefield,3,0,1,0,0.466,medium,0.364,medium,0.379,medium
Koramangala,3,0,1,0,0.182,low,0.152,low,0.247,low
Electronic City,3,0,1,0,0.434,medium,0.297,low,0.345,medium
Indiranagar,3,0,1,0,0.358,medium,0.256,low,0.492,medium
MG Road,3,1,1,0,0.494,medium,0.353,medium,0.298,low
Whitefield,3,1,1,0,0.373,medium,0.296,low,0.399,medium
Koramangala,3,1,1,0,0.0,low,0.209,low,0.186,low
Electronic City,3,1,1,0,0.539,medium,0.273,low,0.452,medium
Indiranagar,3,1,1,0,0.216,low,0.089,low,0.553,medium
MG Road,3,2,1,0,0.485,medium,0.361,medium,0.581,medium
Whitefield,3,2,1,0,0.34,low,0.253,low,0.322,medium
Koramangala,3,2,1,0,0.292,low,0.199,low,0.337,medium
Electronic City,3,2,1,0,0.534,medium,0.484,medium,0.507,medium
Indiranagar,3,2,1,0,0.351,medium,0.131,low,0.579,medium
MG Road,3,3,1,0,0.408,medium,0.316,medium,0.388,medium
Whitefield,3,3,1,0,0.295,low,0.239,low,0.3,medium
Koramangala,3,3,1,0,0.134,low,0.255,low,0.299,low
Electronic City,3,3,1,0,0.43,medium,0.398,medium,0.466,medium
Indiranagar,3,3,1,0,0.202,low,0.201,low,0.426,medium
MG Road,3,4,1,0,0.476,medium,0.471,medium,0.475,medium
Whitefield,3,4,1,0,0.31,low,0.2,low,0.276,low
Koramangala,3,4,1,0,0.012,low,0.0,low,0.364,medium
Electronic City,3,4,1,0,0.382,medium,0.168,low,0.113,low
Indiranagar,3,4,1,0,0.249,low,0.042,low,0.539,medium
MG Road,3,5,1,0,0.881,high,0.548,medium,0.878,high
Whitefield,3,5,1,0,0.679,high,0.442,medium,0.171,low
Koramangala,3,5,1,0,0.583,medium,0.269,low,0.269,low
Electronic City,3,5,1,0,0.832,high,0.826,high,0.646,high
Indiranagar,3,5,1,0,0.645,medium,0.511,medium,0.618,high
MG Road,3,6,1,0,0.861,high,0.631,high,0.655,high
Whitefield,3,6,1,0,0.595,medium,0.341,medium,0.36,medium
Koramangala,3,6,1,0,0.265,low,0.175,low,0.207,low
Electronic City,3,6,1,0,0.662,high,0.481,medium,0.579,medium
Indiranagar,3,6,1,0,0.673,high,0.314,medium,0.445,medium
MG Road,3,7,1,0,0.875,high,0.514,medium,0.628,high
Whitefield,3,7,1,0,0.644,medium,0.354,medium,0.418,medium
Koramangala,3,7,1,0,0.293,low,0.145,low,0.349,medium
Electronic City,3,7,1,0,0.623,medium,0.48,medium,0.422,medium
Indiranagar,3,7,1,0,0.644,medium,0.473,medium,0.669,high
MG Road,3,8,1,1,1.0,high,0.657,high,0.712,high
Whitefield,3,8,1,1,0.893,high,0.63,high,0.511,medium
Koramangala,3,8,1,1,0.594,medium,0.349,medium,0.297,low
Electronic City,3,8,1,1,1.0,high,0.576,medium,0.506,medium
Indiranagar,3,8,1,1,0.793,high,0.644,high,0.563,medium
MG Road,3,9,1,1,1.0,high,0.633,high,0.728,high
Whitefield,3,9,1,1,0.783,high,0.763,high,0.345,medium
Koramangala,3,9,1,1,0.675,high,0.536,medium,0.511,medium
Electronic City,3,9,1,1,0.985,high,0.677,high,0.573,medium
Indiranagar,3,9,1,1,0.838,high,0.683,high,0.831,high
MG Road,3,10,1,1,1.0,high,0.563,medium,0.691,high
Whitefield,3,10,1,1,1.0,high,0.62,high,0.714,high
Koramangala,3,10,1,1,0.784,high,0.494,medium,0.571,medium
Electronic City,3,10,1,1,1.0,high,0.662,high,0.555,medium
